lamb,N,p,cpu_0,gap_0,cpu_1,gap_1,cpu_2,gap_2,clazy_2,cuser_2,cpu_3,gap_3,clazy_3,cuser_3
7,50,16,7200,69.69,50.666,0,31.924,0,1.5,0.1,26.285,0,3,0.2
7,50,25,7200,28.974,25.778,0,17.037,0,1.6,0,14.482,0,3.2,0
7,100,25,7200,100,7200,10.408,7200,10.485,1.8,0,7200,9.502,2.7,0
7,100,33,7200,96.146,934.136,0,728.883,0,1.7,0,687.634,0,3.6,0.2
7,100,50,7200,81.922,477.538,0,432.683,0,1.7,0,397.377,0,3.4,0
7,140,35,7200,100,7017.638,42.504,7008.637,53.59,1.5,0,6806.114,61.979,1.5,0
7,140,46,7200,100,4827.154,0,6611.545,50,1.5,0,6140.107,53.268,1.5,0
7,140,70,7200,100,2891.724,0,3049.431,0,1.5,0,3108.953,0.011,1.5,0
7,180,45,7200,100,7200,100,7200,83.349,1.7,0,7200,100,1.7,0
7,180,60,7200,100,7200,100,6792.295,70.214,1.5,0,7106.245,80.075,1.6,0
7,180,90,7200,100,7200,100,6793.892,70,1.7,0,6720.803,70.003,1.7,0
7,200,50,7200,100,7200,100,7200,100,1.6,0,7200,100,1.6,0
7,200,66,7200,100,7200,100,7200,100,1.6,0,7200,100,1.6,0
7,200,100,7200,100,7200,100,7200,100,1.7,0,7200,100,1.7,0
8,20,5,14.946,0,0.458,0,0.404,0,7.1,4.1,0.331,0,5.4,3
8,20,6,14.842,0,0.524,0,0.42,0,6.3,3.5,0.262,0,4,1.4
8,20,10,141.14600000000002,0,0.428,0,0.441,0,6.5,3,0.212,0,4.2,1
8,30,7,1649.228,0,3.034,0,34.527,0,7.7,3.6,1.7590000000000001,0,6.2,3
8,30,10,1251.32,0,3.6879999999999997,0,1.995,0,7.2,3.3,1.145,0,4.2,2
8,30,15,779.116,0,4.23,0,1.8599999999999999,0,8,3,2.122,0,5,3
8,40,10,6728.332,43.366,71.072,0,40.556000000000004,0,8.6,3.9,7.305,0,6,2.6
8,40,13,5685.672,17.720000000000002,73.784,0,4.412,0,7.3,3.3,59.762,0,5.2,2.6
8,40,20,1498.248,0,7.966,0,36.332,0,7.1,3.1,34.964,0,5.8,3
8,50,12,4709.14,7.328,14.79,0,44.32,0,8.1,3.7,24.528,0,6.4,3
8,50,16,4978.012,25.22,12.344,0,7.0729999999999995,0,7.9,3.3,4.239,0,4.4,1.8
8,50,25,3123.468,2.918,12.252,0,7.806,0,7.3,3,13.155,0,5.2,3
8,100,25,7200,82.244,294.98199999999997,0,2364.299,4.06,8,3.3,3032.64,4.912,6.8,3
8,100,33,7200,85.954,194.072,0,1035.148,2.295,6.7,3.4,128.233,0,4.8,3
8,100,50,7200,91.282,217.63400000000001,0,3518.558,3.578,6.6,3,658.224,0,5.6,3
8,140,35,7200,86.514,1536.352,0,2578.322,3.603,8.8,3.5,3378.448,7.4719999999999995,5.2,3
8,140,46,7200,89.476,1683.212,0,5269.453,10.92,9.9,3.3,1125.786,0,5.8,3
