lamb,ins,N,p,cpu_0,gap_0,cpu_1,gap_1,cpu_2,gap_2,clazy_2,cuser_2,cpu_3,gap_3,clazy_3,cuser_3
7,1,50,5,7200,76.53,382.94,0,359.25,0,3,0,354.57,0,3,0
7,2,50,10,7200,89.05,25.14,0,15.77,0,3,1,17.82,0,3,1
7,3,50,10,7200,71.11,368.02,0,22.93,0,3,0,25.48,0,3,0
7,4,50,20,1803.42,0,10.19,0,6.38,0,3,0,6.39,0,3,0
7,5,50,33,187.68,0,4.78,0,4.02,0,3,0,3.93,0,3,0
7,6,100,5,7200,97.11999999999999,7200,63.07000000000001,7200,56.620000000000005,4,0,7200,18.84,4,0
7,7,100,10,7200,92.65,7200,59.91,7200,48.33,3,1,7200,63.93,4,0
7,8,100,20,7200,75,3214.78,0,4638.68,0,3,0,3444.02,0,3,0
7,9,100,40,7200,68.32000000000001,4453.26,0,1851.68,0,3,0,1870.44,0,3,0
7,10,100,67,825.64,0,145.38,0,125.62,0,3,0,126.26,0,3,0
7,11,150,5,7200,98.21,7200,100,7200,100,3,0,7200,100,3,0
7,12,150,10,7200,83.64,7200,13.209999999999999,7200,8,4,0,3507.46,0,4,0
7,13,150,30,7200,88.14,7200,85.67,7200,65.45,3,0,7200,82.17,3,0
7,14,150,60,7200,12,4146.97,0,3368.56,0,3,0,869.16,0,3,0
7,15,150,100,7200,53.66,7200,41.38,7200,28.21,3,0,7200,42.28,3,0
7,16,200,5,7200,100,7200,100,7200,99.33999999999999,4,0,7200,100,4,0
7,17,200,10,7200,100,7200,100,7200,100,4,0,7200,100,4,0
7,18,200,40,7200,100,7200,100,7200,100,3,0,7200,100,3,0
7,19,200,80,7200,74.29,7200,88.51,7200,84.86,3,0,7200,84.92,3,0
7,20,200,133,7200,46.51,7200,42.19,7200,42.49,3,0,7200,42.44,3,0
8,1,50,5,5960.74,0,347.76,0,18.53,0,18,4,26.71,0,12,3
8,2,50,10,7200,9.68,10.92,0,21.26,0,12,6,12.36,0,9,3
8,3,50,10,4846.48,0,336.09,0,22.41,0,18,6,388.86,0,7,3
8,4,50,20,122.78,0,9.49,0,6.85,0,14,4,5.63,0,6,3
8,5,50,33,44.78,0,7.35,0,5.55,0,8,3,4.03,0,3,3
8,6,100,5,7200,16.77,3618.33,0,3340.95,0,14,6,1089.98,0,8,3
8,7,100,10,7200,37.97,2261.79,0,1846.71,0,13,6,1869.62,0,5,3
8,8,100,20,717.39,0,98.54,0,115.99,0,7,3,115.83,0,5,1
8,9,100,40,1331.89,0,248.32,0,260.38,0,8,4,222.06,0,4,3
8,10,100,67,639.79,0,182.25,0,134.55,0,8,3,142.86,0,9,3
8,11,150,5,7200,36.28,7200,9.09,7200,11.5,13,5,7200,8.18,8,3
8,12,150,10,7200,19.82,1269.31,0,1124.14,0,13,6,2994.33,0,7,3
8,13,150,30,7200,41.53,4429.17,0,5559.28,0,10,4,7200,0.88,6,3
8,14,150,60,4442.84,0,211.8,0,429.01,0,8,3,319.23,0,5,3
8,15,150,100,7200,62.03999999999999,7200,62.39,2911.7,0,7,3,6224.55,0,8,3
8,16,200,5,7200,34.410000000000004,7200,5.43,7200,7.449999999999999,6,6,7200,21.92,5,3
8,17,200,10,7200,43.96,7200,49.5,7200,42.05,8,6,7200,49.5,3,3
8,18,200,40,7200,57.010000000000005,7200,58.18,7200,28.999999999999996,9,4,6909.11,0,5,2
8,19,200,80,7200,21.790000000000003,7200,64,7200,60.6,7,3,7200,98.92999999999999,3,0
8,20,200,133,7200,20.93,7200,55.52,7200,57.879999999999995,6,3,7200,51.580000000000005,3,3
9,1,50,5,7200,99.08,3358.69,0,2228.47,0,30,6,5109.33,0,25,3
9,2,50,10,7200,95.5,2959.01,0,2595.84,0,18,6,4821.42,0,20,3
9,3,50,10,7200,87.8,7200,12.57,5947.19,0,27,6,7200,15.120000000000001,28,3
9,4,50,20,7200,71.43,152.83,0,96.4,0,18,6,180.11,0,19,3
9,5,50,33,7200,31.71,395.18,0,732.06,0,9,5,742.84,0,8,3
9,6,100,5,7200,98.86,7200,100,7200,100,17,6,7200,100,6,3
9,7,100,10,7200,100,7200,100,7200,100,26,6,7200,100,6,3
9,8,100,20,7200,92.86,7122.32,0.1,4317.36,0,14,6,2930.35,0,16,3
9,9,100,40,7200,98.31,7200,57.58,7200,40.910000000000004,11,6,7200,48.22,8,3
9,10,100,67,7200,2.56,1979.59,0,2048.66,0,12,6,7200,7.55,11,3
9,11,150,5,7200,100,7200,100,7200,100,8,6,7200,100,5,3
9,12,150,10,7200,97.92,7200,100,7200,100,18,6,7200,100,10,3
9,13,150,30,7200,100,7200,100,7200,100,8,6,7200,100,3,3
9,14,150,60,7200,95.59,7200,11.32,7200,3.02,11,6,7200,15.49,8,3
9,15,150,100,7200,97.37,7200,100,7200,100,8,4,7200,100,3,3
9,16,200,5,7200,100,7200,100,7200,100,6,6,7200,100,4,3
9,17,200,10,7200,100,7200,100,7200,100,6,6,7200,100,3,3
9,18,200,40,7200,100,7200,100,7200,100,8,4,7200,100,5,2
9,19,200,80,7200,100,7200,100,7200,100,6,3,7200,100,3,3
9,20,200,133,7200,97.44,7200,100,7200,100,6,6,7200,100,3,3
10,1,50,5,7200,16.35,1504.68,0,1140.74,0,22,6,1833.29,0,22,3
10,2,50,10,2596.57,0,1117.56,0,745.42,0,22,6,1143.93,0,15,3
10,3,50,10,7200,4.17,2405.67,0,1483.64,0,24,6,2231.42,0,19,3
10,4,50,20,404.65,0,48.8,0,34.53,0,22,6,48.68,0,16,3
10,5,50,33,1128.08,0,341.35,0,28.81,0,11,6,29.11,0,11,3
10,6,100,5,7200,30.769999999999996,7200,48.4,7200,47.4,14,6,7200,33.54,17,3
10,7,100,10,7200,27.779999999999998,7200,51.949999999999996,7200,52.739999999999995,20,6,7200,51.9,9,3
10,8,100,20,7200,18,7200,9.6,4466.28,0,15,6,4398.67,0,13,3
10,9,100,40,7200,21.990000000000002,7200,20.349999999999998,5936.88,0,15,6,5939.27,0,12,3
10,10,100,67,782.32,0,1244.41,0,1048.6,0,13,5,7200,7.42,12,3
10,11,150,5,7200,39.64,7200,69.73,7200,64.55,12,6,7200,68.95,5,3
10,12,150,10,7200,25.71,7200,48.41,7200,47.22,19,6,7200,58.13,11,3
10,13,150,30,7200,48,7200,69.85,7200,72.68,7,6,7200,63.46000000000001,4,3
10,14,150,60,7200,20.34,7200,21.029999999999998,2526.05,0,12,4,2915.87,0,6,3
10,15,150,100,7200,64.14999999999999,7200,78.03999999999999,7200,21.94,9,6,7200,76.61,3,3
10,16,200,5,7200,41.94,7200,71.31,7200,68.78999999999999,8,6,7200,69.42,3,3
10,17,200,10,7200,51.580000000000005,7200,76.4,7200,70.32000000000001,7,6,7200,72.86,10,3
10,18,200,40,7200,54.64,7200,79.52,7200,78.33,8,5,7200,98.88,5,0
10,19,200,80,7200,65.56,7200,82.22,7200,83.88,7,4,7200,79,4,2
10,20,200,133,7200,61.760000000000005,7200,73.98,7200,80.02,7,5,7200,72.86,4,3
11,1,50,5,0.33,0,29.55,0,4.47,0,147,0,3.48,0,3,0
11,2,50,10,0.53,0,344.28,0,4.3,0,178,0,4.49,0,4,0
11,3,50,10,0.3,0,26.97,0,2.19,0,166,0,2.5,0,4,0
11,4,50,20,0.75,0,17.99,0,2.14,0,147,0,2.08,0,3,0
11,5,50,33,0.44,0,344.76,0,4.1,0,147,0,3.96,0,3,0
11,6,100,5,1.46,0,7200,100,25.71,0,297,0,24.96,0,3,0
11,7,100,10,14.73,0,7200,100,229.08,0,566,294,137.14,0,6,3
11,8,100,20,0.86,0,3874.37,0,31.62,0,321,0,25.72,0,4,0
11,9,100,40,0.74,0,7200,100,40.53,0,302,0,51.23,0,4,0
11,10,100,67,0.76,0,7200,100,32.46,0,297,0,344.73,0,3,0
11,11,150,5,4,0,7200,100,1105.17,0,534,0,1127.73,0,4,0
11,12,150,10,2.69,0,4347.19,0,117.41,0,603,0,150.65,0,5,0
11,13,150,30,2.71,0,7200,100,285.98,0,503,0,182.58,0,4,0
11,14,150,60,1.77,0,4628.6,0,102.81,0,514,0,132.19,0,4,0
11,15,150,100,2.41,0,7200,100,777.31,0,447,0,1111.14,0,3,0
11,16,200,5,6.71,0,7200,100,772.47,0,1020,594,543.95,0,4,1
11,17,200,10,7.31,0,7200,100,332.55,0,796,0,413.16,0,4,0
11,18,200,40,4.8,0,7200,100,3210.45,0,712,0,493.9,0,6,3
11,19,200,80,4.09,0,7200,100,393.22,0,655,0,3113.8,0,6,0
11,20,200,133,3.97,0,7200,100,2591.39,0,597,0,448.69,0,3,0
12,1,50,5,7200,94.08999999999999,680.76,0,521.26,0,4,0,3000.4,0,4,0
12,2,50,10,7200,88.6,3339.4,0,2585.08,0,4,0,2639.62,0,3,0
12,3,50,10,7200,92.85,3709.9,0,3336.3,0,3,1,3000.69,0,3,1
12,4,50,20,7200,40.92,139.87,0,125.15,0,3,0,153.14,0,3,0
12,5,50,33,7200,57.56,748.5,0,732.62,0,3,0,727.01,0,3,0
12,6,100,5,7200,100,7200,99.26,7200,58.95,4,0,7200,72.2,5,0
12,7,100,10,7200,99.89,7200,97.63,7200,96.64,3,0,7200,96.8,3,1
12,8,100,20,7200,48.46,7200,61.7,7200,65.8,4,0,7200,59.67,4,0
12,9,100,40,7200,92.2,7200,70.47,7200,69.39999999999999,3,0,7200,71.96000000000001,3,0
12,10,100,67,7200,23.09,7200,15.39,7200,5.93,3,0,7200,4.5,3,0
12,11,150,5,7200,100,7200,100,7200,100,3,0,7200,100,3,0
12,12,150,10,7200,99.14,7200,98.44000000000001,7200,95.98,3,1,7200,95.99,3,1
12,13,150,30,7200,99.57000000000001,7200,98.95,7200,98.76,3,0,7200,97.86,3,0
12,14,150,60,7200,33.57,7200,64.66,7200,64.14999999999999,3,0,7200,64.18,3,0
12,15,150,100,7200,92.73,7200,82.48,7200,68.62,3,0,7200,82.44,3,0
12,16,200,5,7200,100,7200,99.91,7200,100,3,0,7200,100,3,0
12,17,200,10,7200,100,7200,100,7200,100,3,0,7200,100,3,0
12,18,200,40,7200,97.76,7200,100,7200,100,3,0,7200,100,3,0
12,19,200,80,7200,98.56,7200,100,7200,99.85000000000001,3,0,7200,100,3,0
12,20,200,133,7200,97.50999999999999,7200,87.58,7200,87.39,3,0,7200,85.09,3,0
